Company Name,RevGrp,Site_ID,B2BorC,InOrOut,StoreVehicleHome,EmployeeCount,PartSeasonalOrFullTime,ProductSalesOrServices,WorkSchedule,VeteranFriendly,ZorProvideLeads
Physical Therapy NOW,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
Pigtails & Crewcuts,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Pillar To Post,3 Top25Percent,Site_3,1 Only B2B,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,2 Mostly by Prospect
Pinch A Penny Incorporated,4 Top50Percent,Site_4,4 Mostly B2C,3 Even,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Pirtek USA,5-Bottom50Percent,Site_3,2 Mostly B2B,2 Mostly in,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Planet Smoothie,3 Top25Percent,Site_4,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Pool Scouts,3 Top25Percent,Site_3,4 Mostly B2C,5 Only outdoors,3 Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Postal Annex+,2 Top10Percent,Site_3,3 Both,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
PostNet,5-Bottom50Percent,Site_2,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Potatopia,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,"NA"
Preferred Care At Home,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
Presents of Mine,5-Bottom50Percent,Site_2,3 Both,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,"NA"
Pro Image Sports f/k/a Pro Image Franchise,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Pro Martial Arts,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Profitable Commercial Lending & Business Services f/k/a Platinum Preferred Financial Group,3 Top25Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,5 Major discounts/benefits to vets,4 Mostly by Franchise
Property Management Inc.,3 Top25Percent,Site_3,1 Only B2B,3 Even,4 Home or vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Puroclean,3 Top25Percent,Site_2,3 Both,3 Even,3 Vehicle location,2 Five to Nine Employees,2 Almost full-time,2 Some merchandise sales,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Qualicare,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Rainbow International Restoration & Cleaning,4 Top50Percent,Site_3,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Rapid Approval Business Loans,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Re-Bath,2 Top10Percent,Site_4,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Real Estate Sales f/k/a Creative Investment Concepts,2 Top10Percent,Site_2,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Real Property Management,3 Top25Percent,Site_3,1 Only B2B,3 Even,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Red Wing Shoe Store,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,3 Six days/nights,1 Not a factor for me,"NA"
Relax The Back,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Remedy Intelligent Staffing,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,3 Some by Prospect and Franchise
Renew Crew,5-Bottom50Percent,Site_3,5 Only B2C,5 Only outdoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,"NA",1 Not a factor for me,"NA"
Rent-N-Roll Custom Wheels & Tires,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Rentals America,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
REVOLISM - Wellness & Weight Loss,5-Bottom50Percent,Site_3,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Ritter's Frozen Custard,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Rocky Mountain Chocolate Factory,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Rosati's Pizza,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Roy Rogers Restaurants,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Rush Bowls,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Safe Ship,5-Bottom50Percent,Site_2,3 Both,2 Mostly in,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Samurai Sam's,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,4 Mostly by Franchise
ScanElite,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,2 Almost full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Schooley Mitchell Telecom Consultants,5-Bottom50Percent,Site_4,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Scout & Molly's,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Sculpture Hospitality (fka Bevinco),4 Top50Percent,Site_2,1 Only B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Sears Handyman Solutions,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
Sears Maid Services,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
ServiceMaster,3 Top25Percent,Site_3,3 Both,2 Mostly in,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,"NA",2 Mild preference for vets,3 Some by Prospect and Franchise
